address,address2,almond,beverageonly,city,co_brander_cd,combostore,country,county,dma_cd,drivein,dunkincardenabled,faxnumber,fri_hours,k_cup,lat,lng,loyalty,mobile,mon_hours,phonenumber,postal,recordid,sat_hours,sitetype,statename,sun_hours,thu_hours,tue_hours,turbooven,wed_hours,wireless
1940 Roosevelt Rd,,Y,N,Broadview,,Y,US,Cook,602,Y,Y,--,04:00-22:00,Y,41.863862,-87.856124,Y,Y,04:00-22:00,708-681-2420,60155,343774,04:00-22:00,FS,IL,05:00-22:00,04:00-22:00,04:00-22:00,Y,04:00-22:00,Y
1982 N Clybourn,,Y,N,Chicago,,Y,US,COOK,602,N,Y,773-883-5103,24HOURS,Y,41.917152,-87.658419,Y,Y,24HOURS,773-883-0045,60614,341557,24HOURS,FS,IL,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
3601 W. Grand Ave,,Y,N,Chicago,MOB,N,US,Cook,602,Y,Y,--,05:00-21:00,N,41.902307,-87.717046,Y,Y,05:00-21:00,773-342-2445,60651,341153,06:00-20:00,GC,IL,06:00-20:00,05:00-21:00,05:00-21:00,Y,05:00-21:00,E
811 E Ogden Ave,,Y,N,Naperville,,N,US,DU PAGE,602,Y,Y,--,24HOURS,Y,41.787619,-88.134961,Y,Y,24HOURS,630-355-0472,60563,301122,24HOURS,FS,IL,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
1651 N Western Ave,,Y,N,Chicago,,Y,US,Cook,602,Y,Y,--,24HOURS,Y,41.911646,-87.686964,Y,Y,24HOURS,773-278-0215,60647,350101,24HOURS,EC,IL,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
7550 NW 186th St,Hess,,N,Hialeah,HES,N,US,Miami-Dade,528,N,N,--,05:00-23:00,Y,25.942206,-80.323205,,N,05:00-23:00,305-821-0320,33015,347781,05:00-23:00,HE,FL,05:00-23:00,05:00-23:00,05:00-23:00,N,05:00-23:00,E
2300 N Clark St,,Y,N,Chicago,,N,US,Cook,602,N,Y,--,05:00-20:00,Y,41.923827,-87.639495,Y,Y,05:00-20:00,773-661-1915,60614,350726,06:00-20:00,SE,IL,06:00-20:00,05:00-20:00,05:00-20:00,Y,05:00-20:00,N
782 N Laramie Ave,,Y,N,Chicago,,Y,US,Cook,602,Y,Y,773-626-2033,24HOURS,Y,41.894632,-87.75578,Y,Y,24HOURS,773-626-2343,60644,343456,24HOURS,FS,IL,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
7010 Burroughs Ave,,Y,N,Plano,,N,US,Kendall,602,Y,Y,--,05:00-19:00,Y,41.653812,-88.566719,Y,Y,05:00-19:00,630-552-9888,60545,349645,05:00-19:00,EC,IL,05:00-19:00,05:00-19:00,05:00-19:00,Y,05:00-19:00,Y
7660 W Madison St,,Y,N,Forest Park,,Y,US,Cook,602,N,Y,708-488-9489,05:00-22:00,Y,41.879431,-87.816634,Y,Y,05:00-22:00,708-488-9488,60130,345698,05:00-22:00,EC,IL,06:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
1768 W Armitage Ave,,Y,N,Chicago,SHL,N,US,Cook,602,N,Y,--,04:00-21:00,,41.917853,-87.672393,Y,Y,04:00-21:00,708-978-7563,60622,351079,04:00-21:00,GC,IL,04:00-21:00,04:00-21:00,04:00-21:00,Y,04:00-21:00,Y
1317 S 1st Ave,,Y,N,Maywood,,N,US,Cook,602,Y,Y,--,04:30-17:00,N,41.875908,-87.833758,Y,Y,04:30-17:00,708-345-9777,60153,302991,04:30-17:00,EC,IL,06:00-15:00,04:30-17:00,04:30-17:00,Y,04:30-17:00,Y
6190 Miramar Pkwy,,,N,Miramar,,N,US,Broward,528,Y,Y,954-753-5701,24HOURS,Y,25.984381,-80.210469,Y,Y,24HOURS,954-966-9017,33023,301527,24HOURS,FS,FL,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
1345 N. Pulaski Rd,,Y,N,Chicago,CIT,N,US,COOK,602,N,Y,--,05:00-21:00,N,41.905639,-87.725983,Y,Y,05:00-21:00,773-394-0003,60651,341739,05:00-21:00,GC,IL,05:00-21:00,05:00-21:00,05:00-21:00,Y,05:00-21:00,E
2681 E New York St,Unit #11,Y,N,Aurora,,N,US,Du Page,602,Y,Y,--,05:00-21:00,Y,41.75832,-88.251013,Y,Y,05:00-21:00,630-499-7505,60502,344966,05:00-21:00,EC,IL,05:00-20:00,05:00-21:00,05:00-21:00,Y,05:00-21:00,Y
18714 NW 67th Ave,,,N,Miami,,N,US,Miami-Dade,528,Y,Y,305-558-2320,24HOURS,Y,25.943829,-80.30728,Y,Y,24HOURS,305-621-0202,33015,307275,24HOURS,FS,FL,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
3347 W. North Ave,,Y,N,Chicago,,Y,US,Cook,602,N,Y,773-486-7967,05:00-22:00,Y,41.909942,-87.711777,Y,Y,05:00-22:00,773-486-7974,60647,343169,05:00-22:00,EC,IL,05:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
947 W Fullerton Ave,,Y,N,Chicago,,N,US,Cook,602,N,Y,847-441-4278,24HOURS,N,41.925308,-87.65275,Y,Y,24HOURS,773-248-6101,60614,350725,24HOURS,MT,IL,24HOURS,24HOURS,24HOURS,Y,24HOURS,E
1005 S Mannheim Rd,,Y,N,Westchester,,N,US,Cook,602,Y,Y,708-484-7960,04:00-22:00,Y,41.865719,-87.88233,Y,Y,04:00-22:00,708-344-7980,60154,350829,04:00-22:00,FS,IL,04:00-22:00,04:00-22:00,04:00-22:00,Y,04:00-22:00,N
7200 Circle Ave,,Y,N,Forest Park,,N,US,Cook,602,N,Y,--,24HOURS,Y,41.886562,-87.804961,Y,Y,24HOURS,708-366-0810,60130,304897,24HOURS,MT,IL,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
4345 S Telegraph Rd,,Y,N,Dearborn Heights,,Y,US,WAYNE,505,Y,Y,--,24HOURS,Y,42.278382,-83.270293,Y,Y,24HOURS,313-561-2426,48125,340872,24HOURS,FS,MI,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
335 S. Wolf Road,,Y,N,Hillside,,N,US,Cook,602,Y,Y,--,04:00-20:00,Y,41.863385,-87.901752,Y,Y,04:00-20:00,708-236-1227,60162,342600,04:00-20:00,GC,IL,05:00-20:00,04:00-20:00,04:00-20:00,Y,04:00-20:00,Y
1927 W Fullerton Ave,Elston,Y,N,Chicago,,Y,US,COOK,602,Y,Y,773-867-8032,24HOURS,Y,41.924962,-87.676848,Y,Y,24HOURS,773-227-0800,60614,306909,24HOURS,FS,IL,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
3 N. Smith St,,Y,N,Aurora,,N,US,KANE,602,Y,Y,--,04:00-19:00,Y,41.752041,-88.293985,Y,Y,04:00-19:00,630-820-2556,60505,300364,04:00-19:00,EC,IL,05:00-17:00,04:00-19:00,04:00-19:00,Y,04:00-19:00,Y
801 West Diversey Pkwy,,Y,N,Chicago,BDT,Y,US,Cook,602,N,Y,773-871-7772,24HOURS,Y,41.932603,-87.649458,Y,Y,24HOURS,773-871-8646,60614,335178,24HOURS,EC,IL,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
2247 N. Milwaukee Ave,,Y,N,Chicago,,Y,US,COOK,602,N,Y,773-235-1366,24HOURS,Y,41.921659,-87.695262,Y,Y,24HOURS,773-235-1365,60647,340404,24HOURS,IN,IL,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
1780 N. Aurora Rd,,Y,N,Naperville,DEL,N,US,Du Page,602,N,Y,--,05:00-22:00,Y,41.780693,-88.204731,Y,Y,05:00-22:00,630-848-3201,60563,344892,05:00-22:00,GC,IL,08:00-20:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
2565 W. Fullerton Ave,,Y,N,Chicago,,N,US,Cook,602,N,Y,773-545-0510,04:00-22:00,Y,41.92473,-87.692391,Y,Y,04:00-22:00,773-384-2565,60647,343174,04:00-22:00,EC,IL,05:00-22:00,04:00-22:00,04:00-22:00,Y,04:00-22:00,Y
119 Yorktown Ctr,,Y,,Lombard,,Y,US,Du Page,602,N,Y,--,08:30-21:00,Y,41.839586,-88.010341,Y,Y,08:30-21:00,630-620-9345,60148,348766,08:30-21:00,FC,IL,09:30-18:00,08:30-21:00,08:30-21:00,,08:30-21:00,N
1625 S Wayne Rd,,Y,N,Westland,,N,US,WAYNE,505,N,Y,734-722-2890,24HOURS,Y,42.296756,-83.388088,Y,Y,24HOURS,734-722-2890,48186,300648,24HOURS,FS,MI,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
19880 NW 27th Ave,,,N,Miami,HES,N,US,Miami-Dade,528,N,N,--,24HOURS,Y,25.955132,-80.246145,,N,24HOURS,305-628-4988,33056,347782,24HOURS,HE,FL,24HOURS,24HOURS,24HOURS,N,24HOURS,E
5707 W North Ave,,Y,N,Chicago,,Y,US,Cook,602,Y,Y,773-745-3422,04:00-22:00,,41.909244,-87.768652,Y,Y,04:00-22:00,773-622-5360,60639,343082,04:00-22:00,FS,IL,04:00-22:00,04:00-22:00,04:00-22:00,Y,04:00-22:00,Y
440 25th Ave,,Y,N,Bellwood,,N,US,Cook,602,Y,Y,--,04:00-21:00,Y,41.8845,-87.86447,Y,Y,04:00-21:00,708-493-9077,60104,346078,04:00-21:00,EC,IL,06:00-20:00,04:00-21:00,04:00-21:00,Y,04:00-21:00,Y
3200 N Clark St,,Y,N,Chicago,,Y,US,Cook,602,N,Y,--,24HOURS,Y,41.940041,-87.651053,Y,Y,24HOURS,773-698-8942,60657,304835,24HOURS,FS,IL,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
4880A NW 183rd St,,,N,Miami,,Y,US,Miami-Dade,528,Y,Y,305-623-1033,24HOURS,Y,25.939249,-80.279833,Y,Y,24HOURS,305-623-1115,33055,341860,24HOURS,EC,FL,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
945 W Belmont Ave,,Y,N,Chicago,,N,US,Cook,602,N,Y,630-455-9478,04:00-21:00,,41.93985,-87.653177,Y,Y,04:00-21:00,773-348-1339,60657,350867,04:00-21:00,SI,IL,04:00-21:00,04:00-21:00,04:00-21:00,Y,04:00-21:00,N
3000 N Ashland Ave,,Y,N,Chicago,STD,Y,US,COOK,602,Y,Y,--,24HOURS,Y,41.936134,-87.66868,Y,Y,24HOURS,773-929-6669,60657,304551,24HOURS,FS,IL,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
20901 NW 2nd Ave,,,N,Miami,HES,N,US,Miami-Dade,528,N,N,--,06:00-22:00,Y,25.967665,-80.205813,,N,06:00-22:00,305-249-2694,33169,347783,06:00-22:00,HE,FL,06:00-22:00,06:00-22:00,06:00-22:00,N,06:00-22:00,E
2808 N Western Ave,,Y,N,Chicago,,N,US,Cook,602,N,Y,--,05:00-22:00,Y,41.932845,-87.688222,Y,Y,05:00-22:00,773-697-9181,60618,351524,05:00-22:00,EC,IL,05:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
5050 W. Grand Ave,,Y,N,Chicago,,Y,US,Cook,602,N,Y,--,04:30-23:00,Y,41.916756,-87.752632,Y,Y,04:30-22:00,773-622-3373,60639,341237,04:30-23:00,FS,IL,04:30-22:00,04:30-22:00,04:30-22:00,Y,04:30-22:00,Y
825 W Hallandale Beach Blvd,,,N,Hallandale Beach,,N,US,BROWARD,528,Y,Y,854-458-4596,24HOURS,Y,25.984853,-80.159723,Y,Y,24HOURS,954-455-8800,33009,304919,24HOURS,FS,FL,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
6336 W North Ave,Narangansette,Y,N,Chicago,,N,US,COOK,602,Y,Y,--,24HOURS,Y,41.909442,-87.784769,Y,Y,24HOURS,773-622-1881,60639,300939,24HOURS,FS,IL,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
502 Mannheim Rd,,Y,N,Bellwood,,N,US,COOK,602,Y,Y,847-441-4278,24HOURS,Y,41.883326,-87.88341,Y,Y,24HOURS,708-547-9659,60104,304536,24HOURS,EC,IL,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
195 E. Butterfield Rd,Elmhurst Plaza,Y,N,Elmhurst,STD,N,US,Du Page,602,N,Y,630-279-7565,05:00-20:00,Y,41.869698,-87.935347,Y,Y,05:00-19:00,630-833-3535,60126,361561,05:30-20:00,EC,IL,05:30-19:00,05:00-20:00,05:00-19:00,Y,05:00-20:00,Y
17521 Roosevelt Rd,,Y,N,Oakbrook Terrace,,Y,US,Du Page,602,Y,Y,630-627-2531,24HOURS,Y,41.860272,-87.971511,Y,Y,24HOURS,630-629-9026,60181,301863,24HOURS,FS,IL,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
1991 Brookdale Rd,,Y,N,Naperville,,Y,US,DU PAGE,602,Y,Y,--,24HOURS,Y,41.792791,-88.204963,Y,Y,24HOURS,630-848-0030,60563,336346,24HOURS,FS,IL,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
1237 N Eola Rd,,Y,N,Aurora,,Y,US,DU PAGE,602,Y,Y,--,04:00-23:00,Y,41.782536,-88.240444,Y,Y,04:00-23:00,630-375-0991,60504,337268,04:00-23:00,FS,IL,04:00-23:00,04:00-23:00,04:00-23:00,Y,04:00-23:00,Y
201 N. Federal Hwy,,,N,Hallandale,,N,US,Broward,528,N,Y,954-753-5701,24HOURS,Y,25.988209,-80.142685,Y,Y,24HOURS,954-458-7966,33009,331114,24HOURS,FS,FL,24HOURS,24HOURS,24HOURS,Y,24HOURS,N
3427 W Diversey Ave,,Y,N,Chicago,BRD,Y,US,COOK,602,N,Y,--,24HOURS,Y,41.931872,-87.713438,Y,Y,24HOURS,773-252-5600,60647,331816,24HOURS,EC,IL,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
2337 N Cicero Ave,,Y,N,Chicago,,Y,US,Cook,602,Y,Y,847-441-4278,24HOURS,Y,41.923603,-87.746197,Y,Y,24HOURS,773-237-1300,60639,301626,24HOURS,FS,IL,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
947 W Addison St,,,N,Chicago,,N,US,Cook,602,N,Y,--,04:00-22:00,Y,41.947144,-87.65381,Y,Y,04:00-22:00,773-726-7254,60613,352290,05:00-22:00,SI,IL,05:00-22:00,04:00-22:00,04:00-22:00,Y,04:00-22:00,Y
24235 Michigan Ave,,Y,N,Dearborn,,Y,US,WAYNE,505,Y,Y,--,24HOURS,Y,42.298826,-83.274256,Y,Y,24HOURS,313-278-3301,48124,340300,24HOURS,FS,MI,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
5705 NW 167th St,,,N,Hialeah,HES,N,US,Miami-Dade,528,N,N,--,06:00-22:00,Y,25.925491,-80.293459,,N,06:00-22:00,305-624-4951,33015,350281,06:00-22:00,HE,FL,06:00-22:00,06:00-22:00,06:00-22:00,N,06:00-22:00,E
7117 North Ave,,Y,N,Oak Park,,N,US,Cook,602,N,Y,708-528-8208,04:00-22:00,Y,41.908753,-87.805587,Y,Y,04:00-22:00,708-524-8202,60302,345044,05:00-22:00,EC,IL,05:00-21:00,04:00-22:00,04:00-22:00,Y,04:00-22:00,Y
5201 W Fullerton Ave,,Y,N,Chicago,,N,US,Cook,602,Y,Y,--,04:00-22:00,Y,41.923985,-87.756181,Y,Y,04:00-22:00,773-417-2142,60639,343826,04:00-22:00,EC,IL,05:00-22:00,04:00-22:00,04:00-22:00,Y,04:00-22:00,Y
1755 W Addison St,,Y,N,Chicago,BRD,Y,US,COOK,602,Y,Y,773-338-2256,24HOURS,Y,41.946852,-87.673164,Y,Y,24HOURS,773-248-4777,60613,300682,24HOURS,FS,IL,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
15 Danada Sq E,,Y,N,Wheaton,,N,US,Du Page,602,N,Y,630-510-0078,04:00-22:00,Y,41.831885,-88.103221,Y,Y,04:00-22:00,630-510-9310,60187,307146,04:00-22:00,EC,IL,04:00-22:00,04:00-22:00,04:00-22:00,Y,04:00-22:00,Y
3949 N. Broadway St,,Y,N,Chicago,,N,US,Cook,602,N,Y,773-296-6335,04:30-22:00,Y,41.954194,-87.65021,Y,Y,04:30-22:00,773-296-6332,60613,346705,04:30-22:00,SI,IL,04:30-22:00,04:30-22:00,04:30-22:00,Y,04:30-22:00,Y
5650 W Fullerton Ave,,Y,N,Chicago,BRD,Y,US,COOK,602,Y,Y,773-836-4933,24HOURS,Y,41.924241,-87.768158,Y,Y,24HOURS,773-385-6564,60639,332479,24HOURS,EC,IL,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
3535 N Western Ave,,Y,N,Chicago,,N,US,COOK,602,N,Y,--,24HOURS,Y,41.946141,-87.687863,Y,Y,24HOURS,773-348-7000,60618,307283,24HOURS,IN,IL,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
4644 W Diversey,,Y,N,Chicago,,Y,US,Cook,602,N,Y,--,04:00-22:00,N,41.931919,-87.743527,Y,Y,04:00-22:00,773-202-1940,60639,341285,04:00-22:00,IN,IL,06:00-22:00,04:00-22:00,04:00-22:00,Y,04:00-22:00,Y
3214 N Kimball Ave,,Y,N,Chicago,,N,US,COOK,602,N,Y,--,24HOURS,Y,41.940026,-87.71291,Y,Y,24HOURS,773-478-2828,60618,308813,24HOURS,IN,IL,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
15905 NW 57th Ave,,,N,Hialeah,,N,US,Miami-Dade,528,N,Y,305-558-2320,06:00-22:00,Y,25.918025,-80.2927,Y,Y,06:00-22:00,305-621-2024,33014,303365,06:00-22:00,EC,FL,06:00-22:00,06:00-22:00,06:00-22:00,Y,06:00-22:00,Y
3801 W. Belmont Ave,,Y,N,Chicago,,Y,US,Cook,602,Y,Y,--,24HOURS,Y,41.938863,-87.722397,Y,Y,24HOURS,773-539-1125,60618,304641,24HOURS,FS,IL,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
8490 W. North Ave,,Y,N,Melrose Park,DEL,N,US,Cook,602,N,Y,708-344-8042,05:00-23:00,Y,41.908626,-87.839324,Y,Y,05:00-23:00,708-344-6807,60160,344885,05:00-23:00,GC,IL,07:00-21:00,05:00-23:00,05:00-23:00,Y,05:00-23:00,E
5725 St Charles Rd,,Y,N,Berkeley,,N,US,Cook,602,Y,Y,708-493-9190,04:00-22:00,Y,41.889242,-87.911678,Y,Y,04:00-22:00,708-493-0310,60163,343309,04:00-22:00,EC,IL,04:00-21:00,04:00-22:00,04:00-22:00,Y,04:00-22:00,Y
912 Winston Plaza,,Y,N,Melrose Park,,Y,US,COOK,602,N,Y,708-344-8042,24HOURS,Y,41.907606,-87.845812,Y,Y,24HOURS,708-344-6807,60160,304977,24HOURS,SC,IL,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
1160 S Main St,,Y,N,Lombard,,N,US,DU PAGE,602,N,Y,--,04:00-22:00,Y,41.860767,-88.017569,Y,Y,04:00-22:00,630-620-9744,60148,303396,04:00-22:00,FS,IL,04:00-22:00,04:00-22:00,04:00-22:00,Y,04:00-22:00,Y
1255 N Farnsworth Ave,,Y,N,Aurora,,Y,US,KANE,602,Y,Y,630-499-1001,24HOURS,Y,41.78352,-88.281502,Y,Y,24HOURS,630-898-7000,60505,306424,24HOURS,FS,IL,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
41511 Ford Rd,,Y,N,Canton,,Y,US,Wayne,505,Y,Y,734-844-1589,24HOURS,Y,42.322476,-83.450514,Y,Y,24HOURS,734-844-1589,48188,306041,24HOURS,FS,MI,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
18801 Nw 2nd Ave,,,N,Miami,,N,US,MIAMI-DADE,528,N,Y,954-753-5701,24HOURS,Y,25.947167,-80.205031,Y,Y,24HOURS,305-655-2467,33169,300985,24HOURS,FS,FL,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
3310 W Addison St,,Y,N,Chicago,,Y,US,COOK,602,Y,Y,773-539-3635,24HOURS,Y,41.946563,-87.710436,Y,Y,24HOURS,773-539-8114,60618,304777,24HOURS,FS,IL,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
5959 Diversey Ave,,Y,N,Chicago,BDT,Y,US,COOK,602,Y,Y,773-745-3618,24HOURS,Y,41.931077,-87.775666,Y,Y,24HOURS,773-745-0731,60639,336005,24HOURS,FS,IL,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
4851 W. Belmont Ave,,Y,N,Chicago,,Y,US,Cook,602,Y,Y,773-777-8096,24HOURS,Y,41.938682,-87.748824,Y,Y,24HOURS,773-777-7589,60641,342748,24HOURS,FS,IL,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
7201 W Grand Ave,,Y,N,Elmwood Park,,Y,US,Cook,602,N,Y,708-453-9926,24HOURS,Y,41.923884,-87.806248,Y,Y,24HOURS,708-452-0145,60707,304907,24HOURS,FS,IL,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
4010 N. Western Ave.,,Y,N,Chicago,,Y,US,COOK,602,Y,Y,773-539-3635,05:00-22:00,Y,41.954507,-87.688974,Y,Y,05:00-22:00,773-604-4433,60618,332397,05:00-22:00,EC,IL,06:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
2640 N. Naragansett,,Y,N,Chicago,,Y,US,COOK,602,N,Y,773-622-8186,05:00-22:00,Y,41.929267,-87.787297,Y,Y,05:00-22:00,773-622-7591,60639,340173,05:00-22:00,EC,IL,05:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
3216 W North Ave,,Y,N,Stone Park,BP,N,US,Cook,602,Y,Y,--,05:00-21:00,Y,41.90741,-87.872626,Y,Y,05:00-21:00,708-345-8009,60165,351224,05:00-21:00,GC,IL,05:00-20:00,05:00-21:00,05:00-21:00,Y,05:00-21:00,N
1441 W Montrose Ave,,Y,N,Chicago,BRD,Y,US,COOK,602,N,Y,773-248-7773,24HOURS,Y,41.961486,-87.666573,Y,Y,24HOURS,773-348-4888,60613,330257,24HOURS,EC,IL,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
2112 W. Galena Blvd,,Y,N,Aurora,,N,US,Kane,602,Y,Y,--,04:00-22:00,Y,41.763891,-88.367667,Y,Y,04:00-22:00,630-906-9820,60506,310427,04:00-22:00,EC,IL,04:00-22:00,04:00-22:00,04:00-22:00,Y,04:00-22:00,Y
3039 N. Central Ave,,Y,N,Chicago,,Y,US,Cook,602,Y,Y,--,24HOURS,Y,41.936217,-87.766314,Y,Y,24HOURS,773-777-4773,60634,302513,24HOURS,FS,IL,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
34417 Ford Rd,,Y,N,Westland,,Y,US,WAYNE,505,N,Y,734-467-7487,05:00-22:00,Y,42.324328,-83.379703,Y,Y,05:00-22:00,734-467-7476,48185,300569,05:00-22:00,FS,MI,05:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
4547 N Broadway St,,Y,N,Chicago,,Y,US,COOK,602,N,Y,--,04:30-21:00,N,41.965019,-87.656758,Y,Y,04:30-21:00,773-784-2500,60640,300542,04:30-21:00,EC,IL,04:30-21:00,04:30-21:00,04:30-21:00,Y,04:30-21:00,Y
3101 W Irving Park Rd,,Y,N,Chicago,,Y,US,COOK,602,N,Y,773-867-8032,04:00-22:00,Y,41.953785,-87.705668,Y,Y,04:00-22:00,773-583-4048,60618,301944,05:00-22:00,EC,IL,05:00-22:00,04:00-22:00,04:00-22:00,Y,04:00-22:00,Y
651 Roosevelt Rd,,Y,N,Glen Ellyn,,Y,US,DuPage,602,Y,Y,--,24HOURS,Y,41.85934,-88.059872,Y,Y,24HOURS,630-474-0463,60137,351253,24HOURS,FS,IL,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
601 Legion Rd,,Y,N,Denton,,N,US,CAROLINE,512,Y,Y,410-479-5408,04:00-21:00,Y,38.876174,-75.823658,Y,Y,04:00-21:00,410-479-5408,21629,336112,04:00-21:00,EC,MD,05:00-21:00,04:00-21:00,04:00-21:00,Y,04:00-21:00,Y
2222 E Prospect Rd,,,N,Ashtabula,,N,US,Ashtabula,510,Y,Y,--,05:00-22:00,Y,41.875306,-80.767079,Y,Y,05:00-22:00,440-261-9007,44004,351872,05:00-22:00,EC,OH,05:00-22:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
6200 W. Belmont Ave,,Y,N,Chicago,,N,US,Cook,602,Y,Y,773-202-8799,04:30-22:30,Y,41.938364,-87.781097,Y,Y,04:30-22:30,773-202-8799,60634,342563,04:30-22:30,EC,IL,04:30-21:00,04:30-22:30,04:30-22:30,Y,04:30-22:30,Y
3960 W. Irving Park Rd,,Y,N,Chicago,MOB,N,US,Cook,602,N,Y,--,04:30-22:00,Y,41.953604,-87.727299,Y,Y,04:30-22:00,312-226-8800,60618,343383,04:30-22:00,GC,IL,04:30-22:00,04:30-22:00,04:30-22:00,Y,04:30-22:00,E
2033 N. Mannheim Rd,Melrose Crsg,Y,N,Melrose Park,,Y,US,Cook,602,Y,Y,--,24HOURS,Y,41.913009,-87.88361,Y,Y,24HOURS,708-344-1390,60160,306474,24HOURS,FS,IL,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
1743 W. Lawrence Ave,,Y,N,Chicago,,Y,US,Cook,602,Y,Y,773-248-7773,24HOURS,Y,41.968722,-87.672958,Y,Y,24HOURS,773-334-0554,60640,300566,24HOURS,FS,IL,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
2360 W 68th St/Unit 101,,,N,Hialeah,,N,US,MIAMI-DADE,528,N,Y,--,24HOURS,Y,25.883884,-80.330321,Y,Y,24HOURS,305-556-7848,33016,331896,24HOURS,EC,FL,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
4313 W Irving Park Rd,,Y,N,Chicago,,N,US,Cook,602,N,Y,--,04:00-22:00,Y,41.953303,-87.735896,Y,Y,04:00-22:00,773-853-0295,60641,346057,04:00-22:00,EC,IL,04:00-22:00,04:00-22:00,04:00-22:00,Y,04:00-22:00,Y
148 W North Ave,,Y,N,Northlake,,Y,US,Cook,602,Y,Y,708-531-1242,24HOURS,Y,41.9073,-87.911441,Y,Y,24HOURS,708-531-9006,60164,342243,24HOURS,FS,IL,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
3843 N. Cicero,,Y,N,Chicago,,N,US,COOK,602,N,Y,--,05:00-19:00,Y,41.950874,-87.747079,Y,Y,05:00-19:00,773-545-5436,60641,340343,05:00-19:00,EC,IL,05:00-18:00,05:00-19:00,05:00-19:00,Y,05:00-19:00,Y
4645 N Western Ave,CTA,Y,N,Chicago,,N,US,Cook,602,N,Y,773-275-4441,05:00-22:00,Y,41.966264,-87.688661,Y,Y,05:00-22:00,773-275-5551,60625,340901,05:00-22:00,MT,IL,06:00-20:00,05:00-22:00,05:00-22:00,Y,05:00-22:00,Y
1 W St Charles Rd,,Y,N,Villa Park,,N,US,Du Page,602,N,Y,630-782-1247,05:00-00:00,Y,41.889522,-87.980225,Y,Y,05:00-00:00,630-782-5323,60181,342440,05:00-00:00,GC,IL,05:30-22:00,05:00-00:00,05:00-00:00,Y,05:00-00:00,Y
1496 Ne Miami Gardens Dr,,,N,Miami,,N,US,MIAMI-DADE,528,N,Y,954-753-5701,24HOURS,Y,25.944744,-80.171125,Y,Y,24HOURS,305-945-2975,33179,308305,24HOURS,EC,FL,24HOURS,24HOURS,24HOURS,Y,24HOURS,Y
205 N. Dual Hwy,,,N,Laurel,,N,US,Sussex,576,Y,Y,410-820-8219,05:00-21:00,Y,38.562675,-75.557352,Y,Y,05:00-20:00,302-875-9467,19956,330700,05:00-21:00,FS,DE,05:00-20:00,05:00-20:00,05:00-20:00,Y,05:00-20:00,Y
